"Type (FARMERS_MARKET, FOOD_PANTRY, SHARE_HOST_SITE, SOUP_KITCHEN, or SENIOR_MEALS)",Name,Address - Line 1,Address - Line 2 (optional),City,State,Zip Code,Phone Number (optional),Website (optional),Description (optional),Requires a photo ID? (either 'Yes' or leave blank),Requires proof of address? (either 'Yes' or leave blank),Requires proof of income? (either 'Yes' or leave blank),Requires a Social Security card? (either 'Yes' or leave blank),Requires a referral? (either 'Yes' or leave blank),Accepts SNAP? (either 'Yes' or leave blank),Accepts FMNP Vouchers? (either 'Yes' or leave blank),Accepts Philly Food Bucks? (either 'Yes' or leave blank),Wheelchair accessible? (either 'Yes' or leave blank),Hours Available? (either 'Yes' or leave blank),Open Sunday? (either 'Yes' or leave blank),Open Monday? (either 'Yes' or leave blank),Open Tuesday? (either 'Yes' or leave blank),Open Wednesday? (either 'Yes' or leave blank),Open Thursday? (either 'Yes' or leave blank),Open Friday? (either 'Yes' or leave blank),Open Saturday? (either 'Yes' or leave blank),"Sunday Opening Time #1 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #1 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #2 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #2 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #3 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #3 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #4 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #4 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #5 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #5 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #6 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #6 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #7 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #7 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #8 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #8 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #9 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #9 (military time - e.g., 8:00 or 17:00)","Sunday Opening Time #10 (military time - e.g., 8:00 or 17:00)","Sunday Closing Time #10 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #1 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #1 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #2 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #2 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #3 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #3 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #4 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #4 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #5 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #5 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #6 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #6 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #7 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #7 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #8 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #8 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #9 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #9 (military time - e.g., 8:00 or 17:00)","Monday Opening Time #10 (military time - e.g., 8:00 or 17:00)","Monday Closing Time #10 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #1 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #1 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #2 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #2 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #3 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #3 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #4 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #4 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #5 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #5 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #6 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #6 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #7 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #7 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #8 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #8 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #9 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #9 (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time #10 (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time #10 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #1 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #1 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #2 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #2 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #3 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #3 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #4 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #4 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #5 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #5 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #6 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #6 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #7 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #7 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #8 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #8 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #9 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #9 (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time #10 (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time #10 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #1 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #1 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #2 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #2 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #3 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #3 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #4 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #4 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #5 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #5 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #6 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #6 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #7 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #7 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #8 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #8 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #9 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #9 (military time - e.g., 8:00 or 17:00)","Thursday Opening Time #10 (military time - e.g., 8:00 or 17:00)","Thursday Closing Time #10 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #1 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #1 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #2 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #2 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #3 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #3 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #4 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #4 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #5 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #5 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #6 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #6 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #7 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #7 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #8 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #8 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #9 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #9 (military time - e.g., 8:00 or 17:00)","Friday Opening Time #10 (military time - e.g., 8:00 or 17:00)","Friday Closing Time #10 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #1 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #1 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #2 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #2 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #3 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #3 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #4 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #4 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #5 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #5 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #6 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #6 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #7 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #7 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #8 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #8 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #9 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #9 (military time - e.g., 8:00 or 17:00)","Saturday Opening Time #10 (military time - e.g., 8:00 or 17:00)","Saturday Closing Time #10 (military time - e.g., 8:00 or 17:00)"
1,SOUP_KITCHEN,Sunday Breakfast Rescue Mission,302 N. 13th St,,Philadelphia,PA,19107,"215-922-6400, ext 107",,Serves a free meal indoors. Open to all. ,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,07:00,08:00,12:00,13:00,18:00,19:00,,,,,,,,,,,,,,,07:00,08:00,12:00,13:00,18:00,19:00,,,,,,,,,,,,,,,07:00,08:00,12:00,13:00,18:00,19:00,,,,,,,,,,,,,,,07:00,08:00,12:00,13:00,18:00,19:00,,,,,,,,,,,,,,,07:00,08:00,12:00,13:00,18:00,19:00,,,,,,,,,,,,,,,07:00,08:00,12:00,13:00,18:00,19:00,,,,,,,,,,,,,,,07:00,08:00,12:00,13:00,18:00,19:00,,,,,,,,,,,,,,
2,SOUP_KITCHEN,St. Mark's,1625 Locust St,,Philadelphia,PA,19103,215-735-1416,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,09:00,,,,,,,,,,,,,,,,,,
3,FOOD_PANTRY,St. Mark's Food Cupboard,1625 Locust St,,Philadelphia,PA,19103,215-735-1416,,"Also serves meals on Saturday. Serves zip codes 19102, 19103, 19106, 19107, 19145, 19146, 19147, 19148. Closed one week during the summer. Please do not call after 5pm.",,,,,Yes,Yes,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30,11:00,,,,,,,,,,,,,,,,,,,09:30,11:00,,,,,,,,,,,,,,,,,,,09:30,11:00,,,,,,,,,,,,,,,,,,,09:30,11:00,,,,,,,,,,,,,,,,,,,07:15,09:00,,,,,,,,,,,,,,,,,,
4,FOOD_PANTRY,The Light House,152 W. Lehigh Ave,,Philadelphia,PA,19133,215-425-7800,,"Clients arrive at 7:30 AM to fill out paperwork, then return to pick up food at 9:30 AM. Must have social security cards for every person receiving food, plus proof of address and photo ID for the person picking up the food.",,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30,08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30,08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SOUP_KITCHEN,Broad Street Ministry,315 South Broad Street,,Philadelphia,PA,19107,215-735-4847,www.broadstreetministry.org,"Also provides Mail Service Monday-Friday; Clothing Closet lottery Tuesday-Saturday; Personal Care Pantry Mondays & Thursdays; Benefits Counselors Mondays, Thursdays, & Fridays; Veterans Benefits counselor Tuesdays & Thursdays; Mural Arts Tuesdays & Wednesdays; Medical nurse Wednesdays & Thursdays; Mental Health nurse Thursdays; Menders service Thursdays; Art table Thursdays; Rapid HIV testing 2nd & 4th Thursday of month; Legal services once a month; case management everyday ",Yes,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,07:45,08:45,,,,,,,,,,,,,,,,,,,07:45,08:45,16:00,17:30,,,,,,,,,,,,,,,,,16:00,17:30,,,,,,,,,,,,,,,,,,,11:30,13:00,,,,,,,,,,,,,,,,,,,11:30,13:00,,,,,,,,,,,,,,,,,,,11:30,13:00,,,,,,,,,,,,,,,,,,
6,FARMERS_MARKET,Fair Food Farmstand,51 N. 12th St,Reading Terminal Market,Philadelphia,PA,19107, ,,"Open year round. The Farmstand also provides a cash-match program named Double Dollars. For every $5 you spend at the Farmstand with your EBT card, Fair Food will give you an additional $5 to spend on MORE fresh food – up to $10 in coupons per week. Visit the 'Farmers' Market' page under the 'Resources' section of this website to learn more about fresh food programs.",,Yes,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,09:00,17:00,,,,,,,,,,,,,,,,,,,08:00,18:00,,,,,,,,,,,,,,,,,,,08:00,18:00,,,,,,,,,,,,,,,,,,,08:00,18:00,,,,,,,,,,,,,,,,,,,08:00,18:00,,,,,,,,,,,,,,,,,,,08:00,18:00,,,,,,,,,,,,,,,,,,,08:00,18:00,,,,,,,,,,,,,,,,,,
7,FOOD_PANTRY,Eben-ezer Mission,6135 Market St,,Philadelphia,PA,19139,267- 970-5869,,Call ahead.,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SENIOR_MEALS,Center in the Park,5818 Germantown Ave,,Philadelphia,PA,19144,215-848-7722,,"M-F, call for hours. Congregate meal provided at lunch for free or with suggested donation. Serves people age 60 and over. No income limit.  Acceptable forms of non-photo ID include: PACE card, birth certificate, naturalization papers, armed forces discharge papers, or statement of age verification from the SSA.  See the 'Seniors' section under the 'Resources' section of this website for additional senior-specific food resources.",,Yes,,,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,08:00,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FOOD_PANTRY,St. Peter's Food Cupboard,313 Pine St,,Philadelphia,PA,19106,215-925-5968,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,10:00,,,,,,,,,,,,,,,,,,
10,FOOD_PANTRY,Victory Outreach Christian Ministry Two,3415 N. 2nd St,,Philadelphia,PA,19140,215-426-5090,,,,,,,,,,,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SOUP_KITCHEN,Lombard Central Presbyterian Church,4201 Powelton Ave,,Philadelphia,PA,19104,215-222-3044,,Serves a free meal indoors. Open to all.  Closed in July and August.,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,11:00,,,,,,,,,,,,,,,,,,,08:00,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FOOD_PANTRY,Celestial Tabernacle HCOG,1263 26th St,,Philadelphia,PA,19121,215-232-5863,,,,,,,Yes,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,11:00,,,,,,,,,,,,,,,,,,,08:00,11:00,,,,,,,,,,,,,,,,,,,08:00,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FOOD_PANTRY,Ford Memorial Temple Inc,4031 Germantown Ave,,Philadelphia,PA,19140,215-225-5069,,Open every second Saturday of the month. Call for emergencies.,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,11:30,,,,,,,,,,,,,,,,,,
14,FOOD_PANTRY,Tabernaculo De La Fe Assemblies,5428 N. Front St,,Philadelphia,PA,19120,215-301-4229,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,15:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,14:30,,,,,,,,,,,,,,,,,,,08:30,14:30,,,,,,,,,,,,,,,,,,,08:30,14:30,,,,,,,,,,,,,,,,,,,10:00,13:00,,,,,,,,,,,,,,,,,,
15,SOUP_KITCHEN,Holsey Temple ,5305-15 Germantown Ave,,Philadelphia,PA,19144,215-848-2210,,Serves a free meal indoors. Open to all. ,,,,,,,,,,Yes,Yes,,Yes,,,,,08:30,09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
